Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
86,Armenia,5.283,0.977,0.799,0.67055,0.825,-0.168,0.629
87,Nepal,5.269,0.91,0.774,0.64233,0.782,0.152,0.727
88,Bulgaria,5.266,1.001,0.931,0.67,0.788,-0.096,0.932
89,Maldives,5.198,0.992,0.913,0.706,0.854,0.024,0.825
90,Azerbaijan,5.171,0.981,0.836,0.65656,0.814,-0.223,0.506
91,Cameroon,5.142,0.913,0.71,0.53515,0.731,0.026,0.848
92,Senegal,5.132,0.909,0.71,0.59802,0.695,-0.046,0.801
93,Albania,5.117,0.979,0.697,0.68999,0.785,-0.03,0.901
94,North Macedonia,5.101,0.986,0.805,0.65474,0.751,0.038,0.905
95,Ghana,5.088,0.933,0.727,0.57586,0.807,0.123,0.848
96,Niger,5.074,0.851,0.641,0.5378,0.806,0.018,0.693
97,Turkmenistan,5.066,0.984,0.983,0.62409,0.877,0.273,0.888
98,Gambia,5.051,0.886,0.69,0.5516,0.697,0.424,0.746
99,Benin,5.045,0.908,0.489,0.54713,0.757,-0.034,0.661
100,Laos,5.03,0.952,0.728,0.58968,0.91,0.123,0.658
101,Bangladesh,5.025,0.927,0.693,0.648,0.877,-0.041,0.682
102,Guinea,4.984,0.894,0.639,0.55008,0.697,0.095,0.766
103,South Africa,4.956,0.973,0.86,0.56904,0.749,-0.067,0.86
104,Turkey,4.948,1.01,0.822,0.67199,0.576,-0.139,0.776
105,Pakistan,4.934,0.927,0.651,0.58709,0.726,0.098,0.787
106,Morocco,4.918,0.95,0.56,0.66208,0.774,-0.236,0.801
107,Venezuela,4.892,0.958,0.861,0.667,0.615,-0.169,0.827
108,Georgia,4.891,0.982,0.671,0.643,0.783,-0.238,0.655
109,Algeria,4.887,0.97,0.802,0.66005,0.48,-0.067,0.752
110,Ukraine,4.875,0.975,0.888,0.64902,0.724,-0.011,0.924
111,Iraq,4.854,0.966,0.746,0.60583,0.63,-0.053,0.875
112,Gabon,4.852,0.982,0.776,0.59962,0.731,-0.2,0.84
113,Burkina Faso,4.834,0.885,0.672,0.54151,0.695,-0.009,0.748
114,Cambodia,4.83,0.922,0.765,0.62,0.959,0.034,0.843
115,Mozambique,4.794,0.855,0.744,0.54706,0.882,0.061,0.684
116,Nigeria,4.759,0.931,0.74,0.50102,0.737,0.037,0.878
117,Mali,4.723,0.889,0.724,0.51969,0.697,-0.036,0.827
118,Iran,4.721,0.982,0.71,0.663,0.608,0.218,0.714
119,Uganda,4.636,0.885,0.781,0.56101,0.709,0.122,0.855
